obj_id,class_id
79,0
80,0
82,0
83,0
85,0
86,0
87,0
88,0
90,0
118,0
151,0
152,0
215,0
216,0
217,0
218,0
219,0
221,0
222,0
280,0
334,0
360,0
424,0
523,0
524,0
525,0
526,0
556,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
622,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
49,1
50,1
119,1
120,1
175,1
191,1
192,1
194,1
225,1
227,1
229,1
259,1
260,1
281,1
311,1
336,1
337,1
339,1
361,1
362,1
363,1
364,1
365,1
366,1
368,1
369,1
370,1
425,1
426,1
427,1
428,1
456,1
457,1
458,1
459,1
571,1
572,1
573,1
575,1
640,1
641,1
642,1
643,1
645,1
646,1
647,1
648,1
649,1
650,1
0,2
1,2
3,2
4,2
5,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
16,2
18,2
19,2
21,2
91,2
92,2
93,2
94,2
96,2
97,2
98,2
99,2
100,2
101,2
103,2
104,2
123,2
125,2
126,2
133,2
134,2
135,2
136,2
137,2
138,2
140,2
141,2
156,2
157,2
166,2
167,2
168,2
176,2
198,2
199,2
200,2
202,2
203,2
204,2
205,2
238,2
239,2
241,2
268,2
269,2
270,2
271,2
272,2
284,2
285,2
286,2
287,2
289,2
290,2
291,2
292,2
293,2
314,2
315,2
316,2
318,2
319,2
320,2
321,2
344,2
345,2
346,2
374,2
375,2
376,2
377,2
378,2
380,2
382,2
383,2
385,2
386,2
387,2
388,2
391,2
429,2
430,2
432,2
436,2
437,2
438,2
439,2
440,2
441,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
496,2
497,2
532,2
533,2
593,2
594,2
595,2
654,2
655,2
195,3
196,3
197,3
230,3
231,3
232,3
233,3
262,3
263,3
264,3
265,3
266,3
313,3
340,3
341,3
342,3
372,3
407,3
408,3
461,3
462,3
480,3
481,3
528,3
529,3
576,3
577,3
579,3
580,3
581,3
583,3
584,3
585,3
586,3
587,3
651,3
24,4
25,4
26,4
28,4
29,4
30,4
32,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
53,4
54,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
67,4
68,4
127,4
142,4
143,4
144,4
145,4
147,4
149,4
150,4
169,4
170,4
171,4
172,4
177,4
178,4
207,4
208,4
209,4
210,4
211,4
322,4
324,4
326,4
347,4
349,4
350,4
392,4
393,4
394,4
396,4
397,4
398,4
399,4
401,4
403,4
404,4
405,4
406,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
509,4
510,4
511,4
512,4
513,4
514,4
534,4
537,4
538,4
540,4
541,4
543,4
544,4
596,4
597,4
598,4
600,4
601,4
602,4
603,4
604,4
606,4
607,4
608,4
656,4
69,5
71,5
73,5
74,5
75,5
106,5
108,5
110,5
114,5
115,5
116,5
158,5
173,5
174,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
213,5
214,5
234,5
236,5
237,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
274,5
276,5
278,5
294,5
295,5
296,5
297,5
298,5
327,5
328,5
351,5
352,5
353,5
354,5
356,5
357,5
410,5
450,5
454,5
455,5
463,5
469,5
470,5
471,5
472,5
474,5
475,5
477,5
478,5
545,5
546,5
547,5
548,5
550,5
551,5
552,5
553,5
609,5
610,5
611,5
612,5
613,5
658,5
76,6
77,6
78,6
117,6
129,6
130,6
131,6
252,6
253,6
255,6
256,6
258,6
279,6
299,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
329,6
330,6
331,6
332,6
333,6
358,6
411,6
412,6
413,6
414,6
416,6
419,6
421,6
423,6
443,6
444,6
445,6
447,6
448,6
449,6
515,6
516,6
517,6
518,6
519,6
520,6
521,6
555,6
614,6
615,6
616,6
619,6
620,6
621,6
51,7
121,7
154,7
155,7
160,7
161,7
162,7
212,7
283,7
409,7
482,7
484,7
485,7
530,7
531,7
588,7
589,7
590,7
591,7
652,7
653,7
